"Timestamp","First.name","Last.name","Sexe","Age","Address","Phone.number","E.mail","Where.are.you.from..","What.level.of.education.are.you.currently.completing..","What.school.are.you.currently.studying.at..","What.s.your.work.status..","What.field.do.you.work.in..","How.did.you.find.out.about.our.event..","Comments.if.needed"
"30/08/2020 19:38","NA","NA","Male","Between 31 and 40","NA","NA","NA","UK","Doctorate degree","None","Studying","Biology","Twitter",""
"30/08/2020 21:03","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","ISBM","Studying","Biology","Facebook",""
"30/08/2020 23:08","NA","NA","Male","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","ISBM","Studying","Molecular biology","Facebook",""
"31/08/2020 02:12","NA","NA","Male","Between 31 and 40","NA","NA","NA","Taiwan","Master's degree","None","Employed","Biology","Twitter",""
"31/08/2020 03:08","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","College degree","ISBM","Studying","Biology","Facebook",""
"31/08/2020 04:18","NA","NA","Male","Between 31 and 40","NA","NA","NA","USA","College degree","BCM","Employed","Biology","Twitter",""
"31/08/2020 07:23","NA","NA","Male","Between 31 and 40","NA","NA","NA","Peru","Doctorate degree","None","Employed","Science, Engineering, Technology, & Mathematics","Facebook",""
"31/08/2020 11:00","NA","NA","Male","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","ESSAI","Employed","Consultancy","Facebook",""
"31/08/2020 13:33","NA","NA","Male","Between 31 and 40","NA","NA","NA","France","None","None","Employed","Biology","Twitter",""
"31/08/2020 15:04","NA","NA","Female","Between 20 and 30","NA","NA","NA","Spain","Master's degree","None","Employed","Biology","Twitter",""
"31/08/2020 16:45","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","ESPRIT","Studying","data science","Group R-ladies Tunis",""
"31/08/2020 17:53","NA","NA","Male","Between 20 and 30","NA","NA","NA","USA","None","None","Employed","Biology","Twitter",""
"31/08/2020 18:24","NA","NA","Female","Between 31 and 40","NA","NA","NA","USA","Doctorate degree","None","Employed","Biology","Twitter",""
"31/08/2020 18:37","NA","NA","Female","Between 31 and 40","NA","NA","NA","USA","Master's degree","None","Employed","Science, Engineering, Technology, & Mathematics","Twitter",""
"01/09/2020 09:24","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","Fss","Studying","Biology","Facebook",""
"01/09/2020 11:46","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","Faculty of scineces","Studying","Biology","Facebook",""
"01/09/2020 13:36","NA","NA","Female","Between 20 and 30","NA","NA","NA","Egypt","Diploma","None","Self-employed/Freelance","Biostatistics","LinkedIn",""
"01/09/2020 14:19","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","High school diploma","INSAT","Studying","Biology","Facebook",""
"01/09/2020 15:06","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","FSS","Studying","Biology","Facebook",""
"01/09/2020 15:38","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","Insat","Studying","Biology","A friend",""
"01/09/2020 16:20","NA","NA","Male","Between 31 and 40","NA","NA","NA","Brazil","Doctorate degree","None","Unemployed - Looking for work","Agriculture","LinkedIn",""
"01/09/2020 16:59","NA","NA","Male","Between 20 and 30","NA","NA","NA","India","Doctorate degree","Aligarh Muslim University","Studying","Biology","LinkedIn",""
"01/09/2020 17:23","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","FSS","Studying","Biology","A friend",""
"01/09/2020 22:38","NA","NA","Male","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","inrs","Studying","Science, Engineering, Technology, & Mathematics","Facebook",""
"02/09/2020 07:38","NA","NA","Female","More than 40","NA","NA","NA","Tunisia","Doctorate degree","FST","Employed","Biology","Facebook",""
"02/09/2020 09:56","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Doctorate degree","FMT","Employed","Biology","Facebook",""
"02/09/2020 10:27","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Post-doctorate","FST","Unemployed - Looking for work","Biology","A friend",""
"02/09/2020 10:49","NA","NA","Male","Between 31 and 40","NA","NA","NA","USA","Post-doc","Harvard Medical School","Employed","Biology","Twitter",""
"02/09/2020 11:05","NA","NA","Female","Between 20 and 30","NA","NA","NA","Algeria","Doctorate degree","FST","Studying","Biology","Facebook",""
"02/09/2020 15:03","NA","NA","Male","Between 31 and 40","NA","NA","NA","Tunisia","postdoc","None","Employed","Biology","Facebook",""
"02/09/2020 15:34","NA","NA","Male","Between 31 and 40","NA","NA","NA","Chile","Doctorate degree","I-Mar","Employed","Biology","Twitter",""
"02/09/2020 17:42","NA","NA","Male","Between 20 and 30","NA","NA","NA","Egypt","College degree","Al-azhar","Studying","Science, Engineering, Technology, & Mathematics","LinkedIn","thanks a buch"
"03/09/2020 01:52","NA","NA","Male","Between 20 and 30","NA","NA","NA","Egypt","College degree","None","Studying","Biology","Facebook",""
"03/09/2020 02:34","NA","NA","Female","Between 20 and 30","NA","NA","NA","UAE","Master's degree","UoS","Studying","Biology","LinkedIn",""
"03/09/2020 08:56","NA","NA","Male","Between 20 and 30","NA","NA","NA","Spain","Doctorate degree","UPF","Employed","Biology","A friend",""
"03/09/2020 12:13","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","FST","Studying","Biology","A friend",""
"03/09/2020 12:21","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","INSAT","Studying","INDUSTRIAL BIOLOGY","Facebook",""
